PLAYER,TEAM,AFFILIATION,YEAR,OVERALL,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,PREDS,New DraftRank,PlusMinus
Travis Leslie,Los Angeles Clippers,Georgia,2011.0,35,SEC,33.0,78.7,114.0,24.8,51.0,56.05,12.2,13.6,20.6,16.7,109.0,136.0,0.801,164.0,317.0,0.517,13.0,43.0,0.302,2.0,2.3,37.8,Jr,4-Jun,1,4.41856,125.394,2.4,8206.0,all,79.2,1.36620961,119.0,173.0,45.0,144.0,0.6879,0.3125,43.0,47.0,0.9149,97.1049,93.3879,3.66211,192.479,8.53735,5.89549,2.64186,8.40951,32.1818,6.57447,1.83505,3.2121,3.9697,7.1818,2.9394,1.2121,0.6061,14.4242,Wing G,2.49589,20.765109229765585,11,24
Cory Joseph,San Antonio Spurs,Texas,2011.0,21,B12,36.0,80.4,110.9,16.8,50.3,52.57,2.2,9.5,17.3,16.1,51.0,73.0,0.699,84.0,196.0,0.429,52.0,126.0,0.413,0.9,1.9,22.7,Fr,3-Jun,5,2.82601,110.246,2.2,16073.0,all,98.0,2.01853339,35.0,73.0,49.0,123.0,0.4795,0.3984,1.0,1.0,1.0,94.0606,89.5381,4.17314,198.743,6.62528,3.74323,2.88205,5.54717,32.3889,2.52065,3.02652,0.6389,2.9167,3.5556,3.0278,1.0278,0.3056,10.4167,Combo G,6.30356,21.463866884362687,12,9
Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2011.0,26,P10,33.0,83.9,97.9,21.7,48.3,51.93,5.3,17.8,16.8,23.6,78.0,106.0,0.736,89.0,203.0,0.438,55.0,152.0,0.362,5.6,1.5,29.9,So,8-Jun,23,2.33011,104.348,1.8,11221.0,all,94.0,0.930007,57.0,98.0,32.0,105.0,0.5816,0.3048,17.0,20.0,0.85,95.3301,90.2386,4.40193,234.231,6.56028,1.36769,5.19259,6.53801,34.9697,3.25031,3.2877,1.5152,5.697,7.2121,2.8182,0.8788,2.0606,12.7576,Stretch 4,7.78806,23.621964402573212,13,13
Kenneth Faried,Denver Nuggets,Morehead State,2011.0,16,OVC,32.0,87.0,115.1,25.7,61.0,60.98,19.9,30.9,7.3,18.2,136.0,235.0,0.579,208.0,341.0,0.61,0.0,0.0,0.0,8.1,3.4,68.9,Sr,8-Jun,35,4.43391,121.634,3.6,1626.0,all,0.0,0.38822381,163.0,231.0,45.0,110.0,0.7056,0.4091,70.0,74.0,0.9459,85.7528,86.3437,4.9022,292.319,8.56669,3.36034,5.20634,8.29385,35.2188,6.15886,2.13499,5.75,8.625,14.375,1.0312,1.9062,2.1875,17.25,C,0.0,24.050250106224667,14,2
Iman Shumpert,New York Knicks,Georgia Tech,2011.0,12,ACC,31.0,79.4,107.1,28.7,45.4,51.72,5.8,16.4,25.7,14.6,141.0,175.0,0.806,135.0,285.0,0.474,42.0,151.0,0.278,0.7,5.0,40.1,Jr,5-Jun,1,4.23152,123.342,3.5,7189.0,all,95.6,1.5000001,79.0,114.0,56.0,171.0,0.693,0.3275,19.0,25.0,0.76,91.788,88.6926,4.21159,225.934,8.39649,5.09881,3.29768,9.1732,32.0,5.2283,3.9449,1.7419,4.1935,5.9355,3.4839,2.7419,0.1935,17.3226,Combo G,8.79213,27.195279311918966,15,3
Josh Selby,Memphis Grizzlies,Kansas,2011.0,37,B12,26.0,34.8,94.4,23.3,46.1,48.91,2.4,9.7,17.8,24.4,28.0,37.0,0.757,38.0,99.0,0.384,34.0,94.0,0.362,0.2,2.3,19.2,Fr,2-Jun,32,1.24352,102.592,3.3,15108.0,all,99.6,1.05656117,17.0,33.0,21.0,66.0,0.5152,0.3182,2.0,3.0,0.6667,95.7003,89.8294,2.61153,93.2253,1.78194,0.58804,1.1939,1.55024,20.3846,0.136406,1.41383,0.3846,1.8462,2.2308,2.1538,0.8077,0.0385,7.9231,Combo G,10.0567,27.34542483799487,16,21
Shelvin Mack,Washington Wizards,Butler,2011.0,25,Horz,37.0,79.4,107.1,27.9,49.0,53.25,2.7,14.3,25.1,16.9,120.0,156.0,0.769,107.0,237.0,0.451,85.0,242.0,0.351,0.3,1.4,32.6,Jr,3-Jun,1,4.02315,121.432,2.2,6698.0,all,41.4,1.41756451,59.0,95.0,48.0,142.0,0.6211,0.338,2.0,2.0,1.0,100.157,96.6054,3.34166,195.04,5.48578,4.54418,0.941604,6.33506,32.1892,5.59095,0.744108,0.7297,3.7568,4.4865,3.4865,0.7297,0.0811,15.9189,Combo G,12.5489,28.43301233028069,17,8
Ater Majok,Los Angeles Lakers,Gold Coast Blaze (Australia),2011.0,43,BE,26.0,28.2,81.9,11.9,42.4,42.48,9.6,12.3,1.9,26.6,9.0,22.0,0.409,25.0,59.0,0.424,0.0,0.0,0.0,10.1,0.6,37.3,Fr,10-Jun,5,-0.433182,76.0302,5.3,14121.0,all,96.8,0.19041723,20.0,28.0,5.0,30.0,0.7143,0.1667,10.0,10.0,1.0,97.5397,90.4793,1.84147,72.38,1.63453,-3.16964,4.80418,0.288237,14.7308,-3.26751,3.55575,1.2308,1.8077,3.0385,0.1538,0.1538,1.6154,2.2692,C,0.0,28.63537933673979,18,25
Norris Cole,Chicago Bulls,Cleveland State,2011.0,20,Horz,34.0,90.2,112.9,32.8,47.0,54.83,2.5,16.7,38.0,14.3,221.0,259.0,0.853,189.0,407.0,0.464,46.0,142.0,0.324,0.3,3.7,47.2,Sr,2-Jun,30,6.04041,133.163,2.8,4149.0,all,0.0,1.94738903,114.0,181.0,75.0,226.0,0.6298,0.3319,6.0,8.0,0.75,93.3699,91.3968,4.44932,258.227,9.55658,6.99107,2.56551,10.1645,36.0882,6.90038,3.26417,0.7647,5.1176,5.8824,5.4412,2.1765,0.0882,21.6765,Scoring PG,6.99096,28.775587724885554,19,1
Klay Thompson,Golden State Warriors,Washington State,2011.0,7,P10,34.0,83.0,107.6,31.9,52.5,57.37,2.6,14.0,25.0,17.8,155.0,185.0,0.838,142.0,305.0,0.466,98.0,246.0,0.398,3.1,2.8,33.6,Jr,6-Jun,1,5.10318,127.806,3.4,8716.0,all,91.8,1.10433421,66.0,110.0,76.0,195.0,0.6,0.3897,8.0,8.0,1.0,95.6906,90.6275,4.32507,240.14,8.36312,5.57615,2.78698,9.38485,34.6765,6.81102,2.57382,0.7353,4.5,5.2353,3.7353,1.6471,0.9412,21.5588,Combo G,12.2598,30.50881808741451,20,13
JaJuan Johnson,New Jersey Nets,Purdue,2011.0,19,BE,31.0,62.7,105.0,24.6,52.9,56.56,3.2,15.4,18.9,20.2,65.0,82.0,0.793,105.0,205.0,0.512,32.0,84.0,0.381,1.8,4.1,28.4,Sr,5-Jun,23,2.65678,116.5,2.5,42927.0,all,93.6,1.16901726,72.0,114.0,33.0,89.0,0.6316,0.3708,18.0,19.0,0.9474,101.409,96.7768,2.88952,177.659,5.75448,3.08713,2.66736,5.25059,26.0,3.0439,2.2067,0.6774,3.4194,4.0968,2.6774,1.9032,0.4516,11.9677,Combo G,5.87125,30.843273600868997,21,2
Nolan Smith,Portland Trail Blazers,Duke,2011.0,15,ACC,37.0,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187.0,230.0,0.813,203.0,405.0,0.501,57.0,163.0,0.35,0.2,2.0,40.5,Sr,2-Jun,2,6.14746,136.992,2.3,198.0,all,95.8,1.60168696,121.0,180.0,82.0,225.0,0.6722,0.3644,19.0,21.0,0.9048,94.9421,90.2798,4.32707,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,1.1892,3.2973,4.4865,5.1081,1.2162,0.0811,20.6486,Scoring PG,7.34459,31.651396768605082,22,7
Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011.0,6,MWC,36.0,89.4,114.7,36.6,53.1,59.2,2.0,8.5,28.6,15.3,250.0,280.0,0.893,221.0,450.0,0.491,121.0,308.0,0.393,0.1,2.1,36.9,Sr,2-Jun,32,7.42677,144.768,1.5,3137.0,all,54.4,1.19232373,109.0,151.0,112.0,299.0,0.7219,0.3746,2.0,3.0,0.6667,99.0445,95.5029,3.90002,215.402,7.05925,8.24222,-1.18298,10.1931,36.1389,10.0698,0.123288,0.6389,2.8611,3.5,4.3056,1.3333,0.0278,29.3056,Scoring PG,13.2585,32.606836180308164,23,17
Justin Harper,Cleveland Cavaliers,Richmond,2011.0,23,A10,37.0,79.1,121.3,24.7,61.8,64.17,6.5,18.6,8.9,12.1,94.0,118.0,0.797,168.0,287.0,0.585,77.0,172.0,0.448,4.0,1.2,25.7,Sr,10-Jun,32,5.06887,131.119,2.8,3094.0,all,0.0,0.76788899,106.0,136.0,62.0,151.0,0.7794,0.4106,15.0,17.0,0.8824,95.0436,92.7825,3.81102,221.09,7.16881,5.51562,1.65319,9.26679,31.8378,8.10676,1.16003,1.6757,5.2432,6.9189,1.1622,0.6216,1.2162,17.8649,Stretch 4,9.19495,32.66593640606243,24,1
Andrew Goudelock,Los Angeles Lakers,College of Charleston,2011.0,34,SC,37.0,88.0,113.6,33.1,54.9,57.5,2.3,9.9,26.4,16.3,110.0,134.0,0.821,187.0,377.0,0.496,131.0,322.0,0.407,0.5,1.5,19.2,Sr,2-Jun,3,5.77155,132.194,2.0,3120.0,all,0.0,1.31932084,41.0,68.0,146.0,309.0,0.6029,0.4725,7.0,8.0,0.875,104.713,104.361,2.75546,204.986,3.82596,5.92043,-2.09447,6.30415,35.1892,7.66592,-1.36177,0.6757,3.1892,3.8649,4.2432,0.8919,0.1892,23.7027,Scoring PG,14.6051,33.21422470273319,25,9
Kawhi Leonard,Indiana Pacers,San Diego State,2011.0,10,MWC,34.0,79.6,108.7,27.7,46.3,50.78,11.4,25.9,16.4,15.1,110.0,145.0,0.759,175.0,371.0,0.472,23.0,81.0,0.284,1.9,2.8,32.1,So,6-Jun,15,4.36317,123.31,3.1,13395.0,all,88.8,1.15998007,78.0,98.0,97.0,272.0,0.7959,0.3566,19.0,19.0,1.0,85.3916,81.558,5.15728,263.03,8.2352,3.75988,4.47532,8.27578,33.0,5.00299,3.27279,3.1765,7.5294,10.7059,2.5588,1.4706,0.5882,15.5588,PF/C,4.51629,33.82003092310151,26,16
Kyle Singler,Detroit Pistons,Duke,2011.0,24,ACC,37.0,86.9,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,125.0,155.0,0.806,157.0,316.0,0.497,62.0,193.0,0.321,0.8,1.5,30.5,Sr,8-Jun,12,4.68934,123.808,3.0,197.0,all,99.0,0.8571278,80.0,113.0,77.0,203.0,0.708,0.3793,4.0,4.0,1.0,94.0388,89.4209,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.3243,16.8919,Wing F,8.51622,35.04787697956908,27,3
DeAndre Liggins,Orlando Magic,Kentucky,2011.0,41,SEC,38.0,78.8,106.5,15.9,49.2,52.25,2.2,11.8,14.2,17.3,68.0,105.0,0.648,76.0,172.0,0.442,36.0,92.0,0.391,2.3,2.3,39.8,Jr,6-Jun,34,2.24478,105.463,3.1,7228.0,all,93.4,1.74540555,42.0,73.0,34.0,99.0,0.5753,0.3434,6.0,8.0,0.75,95.8686,90.4115,3.99153,220.706,6.25092,2.90719,3.34373,4.90757,31.6053,1.1657,3.74188,0.5789,3.4474,4.0263,2.5263,1.2105,0.7368,8.6316,Wing G,4.61307,35.05884822005555,28,13
Jon Leuer,Milwaukee Bucks,Wisconsin,2011.0,29,B10,34.0,83.1,116.8,29.4,52.6,56.8,6.5,22.6,12.8,11.3,113.0,134.0,0.843,173.0,337.0,0.513,54.0,146.0,0.37,3.1,1.0,27.7,Sr,10-Jun,30,6.02112,137.105,2.6,1932.0,all,84.0,1.03708601,57.0,75.0,116.0,262.0,0.76,0.4427,17.0,18.0,0.9444,98.659,91.8777,4.04456,196.596,6.9244,5.3846,1.5398,8.76528,33.5,7.50485,1.26043,1.6765,5.5588,7.2353,1.6471,0.5,0.8824,18.2647,PF/C,8.99234,36.64467016260551,29,0
